areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
All Downtown,Manhattan,submarket,2995.000,2950.000,2900.000,2975.000,2995.000,3000.000,3000.000,3000.000,3200.000,3200.000,3100.000,3195.000,3178.000,3200.000,3195.000,3200.000,3200.000,3250.000,3200.000,3250.000,3350.000,3400.000,3300.000,3250.000,3250.000,3240.000,3300.000,3330.000,3350.000,3300.000,3300.000,3295.000,3378.000,3375.000,3300.000,3300.000,3300.000,3330.000,3395.000,3381.000,3350.000,3300.000,3325.000,3400.000,3450.000,3495.000,3525.000,3499.000,3500.000,3500.000,3492.000,3475.000,3466.000,3402.000,3430.000,3450.000,3495.000,3450.000,3403.000,3495.000,3500.000,3500.000,3500.000,3528.000,3500.000,3500.000,3495.000,3592.000,3600.000,3595.000,3545.000,3595.000,3566.000,3600.000,3650.000,3690.000,3670.000,3650.000,3626.000,3520.000,3550.000,3556.000,3500.000,3500.000,3500.000,3563.000,3500.000,3505.000,3500.000,3500.000,3495.000,3550.000,3500.000,3500.000,3495.000,3500.000,3500.000,3570.000,3550.000,3546.000,3500.000,3500.000,3500.000,3550.000,3598.000,3600.000,3695.000,3687.000,3695.000,3750.000,3695.000,3795.000,3800.000,3850.000,3850.000,3795.000,3817.000,3880.000,3895.000,3900.000,3900.000,3950.000,3900.000,3783.000,3500.000,3425.000,3295.000,3200.000,3131.000,3095.000,3000.000,3095.000,3150.000,3200.000,3250.000,3300.000,3400.000,3500.000,3602.000,3750.000,3975.000,4100.000,4197.000,4300.000,4400.000,4500.000,4500.000,4500.000,4500.000,4500.000,4500.000,4500.000,4500.000,4500.000
All Midtown,Manhattan,submarket,2800.000,2800.000,2850.000,2895.000,2900.000,2970.000,3000.000,3012.000,3095.000,3017.000,3000.000,3000.000,3000.000,3000.000,3048.000,3100.000,3195.000,3200.000,3250.000,3250.000,3220.000,3213.000,3250.000,3248.000,3200.000,3200.000,3200.000,3290.000,3343.000,3310.000,3300.000,3300.000,3300.000,3300.000,3300.000,3300.000,3300.000,3300.000,3300.000,3300.000,3300.000,3350.000,3350.000,3393.000,3395.000,3350.000,3350.000,3390.000,3350.000,3375.000,3400.000,3431.000,3450.000,3500.000,3483.000,3450.000,3400.000,3433.000,3450.000,3490.000,3462.000,3495.000,3495.000,3500.000,3551.000,3550.000,3550.000,3500.000,3500.000,3500.000,3466.000,3495.000,3450.000,3500.000,3500.000,3550.000,3600.000,3575.000,3500.000,3500.000,3500.000,3495.000,3455.000,3490.000,3433.000,3495.000,3500.000,3500.000,3510.000,3510.000,3500.000,3500.000,3495.000,3491.000,3300.000,3320.000,3350.000,3375.000,3375.000,3395.000,3488.000,3500.000,3495.000,3500.000,3500.000,3500.000,3495.000,3500.000,3499.000,3550.000,3575.000,3600.000,3625.000,3600.000,3682.000,3690.000,3636.000,3650.000,3630.000,3600.000,3600.000,3650.000,3650.000,3500.000,3331.000,3200.000,3080.000,2995.000,2950.000,2916.000,2900.000,2895.000,2915.000,2950.000,3000.000,3167.000,3250.000,3361.000,3550.000,3600.000,3800.000,3845.000,4000.000,4050.000,4195.000,4200.000,4250.000,4300.000,4368.000,4375.000,4375.000,4225.000,4295.000,4250.000
All Upper East Side,Manhattan,submarket,2350.000,2300.000,2350.000,2470.000,2500.000,2500.000,2500.000,2490.000,2500.000,2500.000,2400.000,2500.000,2475.000,2400.000,2400.000,2500.000,2598.000,2650.000,2550.000,2600.000,2650.000,2695.000,2700.000,2695.000,2600.000,2650.000,2600.000,2650.000,2600.000,2650.000,2650.000,2600.000,2695.000,2600.000,2625.000,2650.000,2650.000,2700.000,2750.000,2658.000,2695.000,2695.000,2650.000,2750.000,2763.000,2750.000,2700.000,2700.000,2675.000,2695.000,2600.000,2650.000,2625.000,2600.000,2625.000,2550.000,2600.000,2650.000,2700.000,2788.000,2750.000,2813.000,2848.000,2750.000,2750.000,2800.000,2800.000,2850.000,2925.000,2850.000,2800.000,2895.000,2900.000,2895.000,2929.000,2885.000,2850.000,2795.000,2750.000,2737.000,2775.000,2790.000,2800.000,2870.000,2800.000,2800.000,2850.000,2850.000,2800.000,2815.000,2800.000,2795.000,2850.000,2788.000,2795.000,2795.000,2800.000,2750.000,2775.000,2700.000,2695.000,2800.000,2795.000,2775.000,2795.000,2850.000,2900.000,2950.000,2950.000,2995.000,2950.000,2850.000,2895.000,2950.000,2898.000,2795.000,2800.000,2925.000,3000.000,3100.000,3165.000,3175.000,3150.000,3000.000,2950.000,2835.000,2695.000,2507.000,2500.000,2500.000,2400.000,2450.000,2372.000,2400.000,2400.000,2350.000,2425.000,2495.000,2581.000,2671.000,2750.000,2800.000,2900.000,3000.000,3250.000,3300.000,3234.000,3150.000,3218.000,3250.000,3267.000,3300.000,3395.000,3395.000
All Upper Manhattan,Manhattan,submarket,1500.000,1516.000,1545.000,1516.000,1550.000,1575.000,1550.000,1553.000,1600.000,1595.000,1550.000,1500.000,1550.000,1585.000,1600.000,1600.000,1600.000,1600.000,1700.000,1750.000,1797.000,1695.000,1695.000,1650.000,1625.000,1650.000,1700.000,1675.000,1700.000,1650.000,1650.000,1775.000,1725.000,1750.000,1730.000,1699.000,1700.000,1700.000,1700.000,1675.000,1700.000,1750.000,1775.000,1795.000,1800.000,1725.000,1700.000,1713.000,1725.000,1700.000,1675.000,1750.000,1800.000,1795.000,1775.000,1750.000,1750.000,1775.000,1768.000,1750.000,1789.000,1800.000,1800.000,1850.000,1850.000,1900.000,1900.000,1900.000,1897.000,1850.000,1850.000,1850.000,1865.000,1880.000,1925.000,1921.000,1950.000,1950.000,1965.000,1950.000,1925.000,1950.000,1900.000,1950.000,1950.000,1950.000,1936.000,1950.000,1950.000,1950.000,1995.000,1995.000,1995.000,1970.000,1900.000,1935.000,1935.000,1950.000,1950.000,1995.000,2000.000,2000.000,2000.000,1975.000,1950.000,1950.000,1960.000,1950.000,1995.000,1995.000,1995.000,1995.000,2050.000,2075.000,2016.000,2056.000,2050.000,2016.000,2015.000,2075.000,2075.000,2100.000,2150.000,2150.000,2097.000,2025.000,2000.000,1975.000,1925.000,1900.000,1900.000,1875.000,1875.000,1875.000,1856.000,1900.000,1925.000,1950.000,1950.000,1950.000,1975.000,1979.000,1995.000,1995.000,1995.000,2000.000,2061.000,2150.000,2195.000,2265.000,2300.000,2350.000,2350.000,2300.000
All Upper West Side,Manhattan,submarket,2600.000,2580.000,2495.000,2500.000,2500.000,2600.000,2600.000,2650.000,2750.000,2800.000,2800.000,2695.000,2700.000,2750.000,2750.000,2800.000,2800.000,2900.000,2850.000,2925.000,2900.000,2900.000,2950.000,3000.000,3000.000,2960.000,2900.000,2950.000,2900.000,2900.000,2995.000,2950.000,2995.000,2975.000,2995.000,2995.000,2950.000,2975.000,3000.000,3000.000,3000.000,2900.000,2873.000,2950.000,3000.000,3000.000,2950.000,2990.000,2950.000,2995.000,3000.000,3100.000,3100.000,3000.000,3000.000,2995.000,3050.000,3045.000,3000.000,3000.000,3050.000,3100.000,3100.000,3150.000,3150.000,3150.000,3225.000,3250.000,3295.000,3250.000,3200.000,3200.000,3200.000,3200.000,3200.000,3230.000,3200.000,3156.000,3190.000,3195.000,3200.000,3200.000,3125.000,3100.000,3100.000,3100.000,3100.000,3100.000,3100.000,3100.000,3100.000,3102.000,3100.000,3095.000,3050.000,3148.000,3100.000,3081.000,3095.000,3100.000,3113.000,3100.000,3050.000,3085.000,3100.000,3150.000,3090.000,3150.000,3231.000,3200.000,3200.000,3350.000,3210.000,3258.000,3200.000,3300.000,3375.000,3395.000,3400.000,3389.000,3400.000,3371.000,3350.000,3200.000,3100.000,2999.000,2918.000,2800.000,2750.000,2658.000,2650.000,2650.000,2650.000,2695.000,2700.000,2750.000,2900.000,2899.000,2950.000,3050.000,3200.000,3395.000,3600.000,3717.000,3814.000,3836.000,3895.000,4019.000,3998.000,3950.000,4000.000,3950.000,4100.000,4234.000
Astoria,Queens,neighborhood,1395.000,1450.000,1450.000,1395.000,1400.000,1550.000,1475.000,1450.000,1500.000,1600.000,1545.000,1450.000,1450.000,1450.000,1600.000,1725.000,1875.000,1888.000,1700.000,1850.000,1888.000,1850.000,1800.000,1850.000,1633.000,1795.000,1800.000,1850.000,1800.000,1700.000,1998.000,2000.000,2138.000,2100.000,1950.000,1795.000,1623.000,1700.000,1699.000,1750.000,1900.000,1850.000,1942.000,1900.000,1900.000,1900.000,1850.000,1800.000,1800.000,1800.000,1800.000,1800.000,1800.000,1800.000,1800.000,1850.000,1800.000,1850.000,1850.000,1800.000,1875.000,1863.000,1875.000,1850.000,1900.000,1900.000,1900.000,2000.000,1900.000,1900.000,1900.000,1900.000,1900.000,1975.000,1950.000,1999.000,1950.000,1995.000,1900.000,1950.000,2000.000,2000.000,2000.000,1995.000,2000.000,1925.000,1900.000,1900.000,1900.000,1900.000,1900.000,1950.000,1900.000,1895.000,1850.000,1850.000,1850.000,1850.000,1850.000,1875.000,1900.000,1850.000,1900.000,1900.000,1950.000,1900.000,1900.000,1950.000,1900.000,1900.000,1900.000,1950.000,2000.000,1950.000,1950.000,1995.000,2000.000,2000.000,2025.000,1975.000,2000.000,2100.000,2100.000,2050.000,1995.000,1900.000,1900.000,1895.000,1850.000,1800.000,1800.000,1800.000,1750.000,1750.000,1750.000,1775.000,1795.000,1800.000,1850.000,1875.000,1900.000,1950.000,1925.000,1950.000,1975.000,2000.000,2000.000,2050.000,2150.000,2250.000,2350.000,2400.000,2400.000,2395.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.000,,,,,,,,,,,,,,,1600.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.000,,,1450.000,1400.000,,,,,,1500.000,,,,1550.000,1625.000,1500.000,1500.000,1499.000,1537.000,1550.000,1588.000,1525.000,1549.000,1599.000,1597.000,1599.000,1525.000,1525.000,1748.000,1725.000,1538.000,1725.000,1713.000,1695.000,1700.000,,,,1600.000,,,1550.000,1550.000,1690.000,1550.000,1575.000,1600.000,1624.000,1655.000,1600.000,1600.000,1600.000,1600.000,1638.000,1625.000,1659.000,1615.000,1648.000,1550.000,1650.000,1600.000,1600.000,1650.000,1650.000,1650.000,1750.000,
Battery Park City,Manhattan,neighborhood,2875.000,2800.000,2900.000,2873.000,2800.000,2900.000,2950.000,2975.000,3000.000,3075.000,3000.000,3045.000,2950.000,2895.000,2900.000,2835.000,2950.000,3138.000,3140.000,3150.000,3195.000,3135.000,3000.000,3068.000,3120.000,3155.000,3200.000,3200.000,3200.000,3215.000,3295.000,3308.000,3200.000,3225.000,3200.000,3225.000,3295.000,3200.000,3250.000,3250.000,3448.000,3343.000,3295.000,3350.000,3295.000,3338.000,3368.000,3350.000,3385.000,3325.000,3400.000,3260.000,3300.000,3500.000,3540.000,3500.000,3573.000,3400.000,3295.000,3250.000,3400.000,3500.000,3600.000,3600.000,3713.000,3785.000,3705.000,3798.000,3835.000,3813.000,3800.000,3700.000,3525.000,3600.000,3615.000,3750.000,3825.000,3795.000,3813.000,3683.000,3600.000,3550.000,3525.000,3585.000,3600.000,3575.000,3513.000,3500.000,3575.000,3694.000,3681.000,3600.000,3450.000,3550.000,3456.000,3563.000,3498.000,3450.000,3580.000,3570.000,3676.000,3650.000,3918.000,3935.000,3805.000,3726.000,3750.000,3800.000,3665.000,3980.000,3950.000,3853.000,3938.000,4075.000,4000.000,4000.000,3950.000,3900.000,4132.000,3995.000,3831.000,3900.000,3900.000,3925.000,3746.000,3478.000,3472.000,3300.000,3450.000,3350.000,3250.000,3300.000,3250.000,3300.000,3355.000,3475.000,3650.000,3800.000,3800.000,4055.000,4190.000,4070.000,4120.000,4245.000,4100.000,4150.000,4425.000,4450.000,4730.000,4725.000,4870.000,4635.000,4330.000,4283.000
Bay Ridge,Brooklyn,neighborhood,1350.000,1350.000,1350.000,1325.000,1300.000,1300.000,1300.000,1300.000,1300.000,1300.000,1300.000,1300.000,1300.000,1350.000,1300.000,1300.000,1300.000,1300.000,1350.000,1438.000,1463.000,1450.000,1350.000,1350.000,1398.000,1300.000,1295.000,1325.000,,1325.000,1350.000,1400.000,1450.000,1450.000,1450.000,1495.000,1438.000,1425.000,1400.000,1495.000,1525.000,1525.000,1513.000,1495.000,1550.000,1500.000,1500.000,1500.000,1550.000,1550.000,1550.000,1525.000,1525.000,1500.000,1450.000,1500.000,1500.000,1550.000,1550.000,1550.000,1500.000,1513.000,1575.000,1600.000,1598.000,1588.000,1600.000,1650.000,1700.000,1675.000,1650.000,1650.000,1600.000,1600.000,1650.000,1650.000,1650.000,1700.000,1700.000,1650.000,1650.000,1650.000,1650.000,1675.000,1650.000,1650.000,1600.000,1625.000,1635.000,1650.000,1650.000,1650.000,1600.000,1650.000,1675.000,1650.000,1650.000,1675.000,1650.000,1675.000,1675.000,1700.000,1699.000,1700.000,1700.000,1695.000,1700.000,1700.000,1663.000,1725.000,1700.000,1699.000,1700.000,1700.000,1700.000,1695.000,1725.000,1700.000,1700.000,1699.000,1700.000,1725.000,1750.000,1746.000,1750.000,1750.000,1750.000,1750.000,1700.000,1700.000,1675.000,1650.000,1650.000,1650.000,1650.000,1675.000,1675.000,1650.000,1650.000,1698.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1750.000,1750.000,1800.000,1750.000,1800.000,1895.000,1899.000,1883.000
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.000,,,,,,1875.000,1775.000,2100.000,1850.000,,,1748.000,,,,,,,,,,1900.000,2200.000,,1800.000,,,1775.000,,1725.000,1650.000,,1625.000,1775.000,,,,,,,1825.000,2000.000,1825.000,1875.000,1850.000,1850.000,1850.000,1818.000,1845.000,2000.000,1850.000,1875.000,1875.000,1875.000,1875.000,1875.000,1913.000,1875.000,1875.000,1850.000,1845.000,1850.000,1875.000,1850.000,1800.000,1800.000,1850.000,1850.000,1850.000,1875.000,1875.000,1925.000,1850.000,1925.000,1913.000,1913.000,1950.000,1973.000,1975.000,1975.000,1975.000,2000.000,2250.000,2250.000,2000.000,2150.000
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.000,,,,,,,,,,,,,,,,,,,,,,,1400.000,1400.000,1350.000,1400.000,1400.000,1350.000,1350.000,1400.000,1400.000,1400.000,1350.000,1325.000,1300.000,1300.000,1350.000,1388.000,1350.000,1338.000,1450.000,1438.000,1450.000,1450.000,1450.000,1450.000,1463.000,1450.000,1500.000,1450.000,1450.000,1450.000,1375.000,1400.000,1500.000,1500.000,1550.000,1550.000,1550.000,1550.000,1500.000,,,,,,,,,,,,,,,,,,,1520.000,1550.000,,1520.000,1595.000,1697.000,1613.000,1697.000,1660.000,1695.000,,,,,,,1695.000,1695.000,,,1625.000,,,,,,,,,,,,,1625.000,1600.000,1723.000,,1750.000,1723.000,1763.000,,,1590.000
Bedford-Stuyvesant,Brooklyn,neighborhood,1600.000,1500.000,1350.000,1375.000,1400.000,1350.000,1300.000,1350.000,1413.000,1500.000,1425.000,1400.000,1400.000,1400.000,1400.000,1400.000,1390.000,1393.000,1450.000,1438.000,1400.000,1500.000,1450.000,1425.000,1400.000,1500.000,1550.000,1575.000,1550.000,1538.000,1513.000,1450.000,1500.000,1500.000,1500.000,1575.000,1500.000,1600.000,1695.000,1700.000,1600.000,1600.000,1645.000,1750.000,1700.000,1695.000,1750.000,1750.000,1700.000,1675.000,1750.000,1750.000,1750.000,1750.000,1750.000,1800.000,1800.000,1800.000,1790.000,1750.000,1750.000,1773.000,1800.000,1899.000,1950.000,1950.000,1950.000,1950.000,1900.000,1900.000,1950.000,1922.000,1922.000,1900.000,1950.000,2000.000,2050.000,2100.000,2100.000,2100.000,2100.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2050.000,2100.000,2100.000,2100.000,2100.000,2100.000,2100.000,2046.000,2000.000,2000.000,2000.000,2100.000,2112.000,2108.000,2150.000,2145.000,2195.000,2200.000,2195.000,2150.000,2150.000,2150.000,2150.000,2199.000,2199.000,2250.000,2200.000,2200.000,2260.000,2291.000,2291.000,2245.000,2222.000,2200.000,2299.000,2300.000,2283.000,2240.000,2200.000,2200.000,2151.000,2062.000,2000.000,2000.000,1975.000,1975.000,1995.000,1950.000,1999.000,2100.000,2195.000,2200.000,2299.000,2365.000,2275.000,2350.000,2300.000,2475.000,2508.000,2500.000,2500.000,2600.000,2653.000,2650.000,2750.000,2750.000,2750.000
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.000,,,,,,,,,,,,1600.000,,1548.000,,,,,,,,,,,,,,,,,,,,1563.000,1588.000,,,,,,,,,,,,,,2050.000,2050.000
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1300.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.000,,,,1300.000,1200.000,1225.000,,,,1350.000,1300.000,1300.000,1350.000,1300.000,1363.000,1400.000,1413.000,1425.000,1500.000,1400.000,1500.000,1425.000,1400.000,1450.000,1350.000,1400.000,1399.000,1399.000,1400.000,1413.000,1425.000,1500.000,1500.000,1550.000,1550.000,,1500.000,1450.000,,,1475.000,1488.000,1500.000,1550.000,1550.000,1500.000,,1570.000,1500.000,1499.000,1550.000,1573.000,1595.000,1505.000,1550.000,1650.000,1588.000,1550.000,1525.000,1575.000,1550.000,1500.000,1625.000,1550.000,1550.000,1550.000,1550.000,1575.000,1600.000,1599.000,1600.000,1597.000,1613.000,1600.000,1625.000,1649.000,1725.000,1763.000,1600.000,1600.000,1649.000,1500.000,1590.000,1635.000,1635.000,1500.000,1499.000,1499.000,1500.000,1550.000,1500.000,1500.000,1595.000,1535.000,1545.000,1590.000,1575.000,1599.000,1620.000,1599.000,1600.000,1598.000,1745.000,1750.000,1625.000,1700.000,1775.000,1750.000,1750.000
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,2000.000,1950.000,1975.000,2050.000,2050.000,2360.000,2355.000,2355.000,2200.000,2200.000,,,,2200.000,2325.000,,,,,,,,,,,,2425.000,,2350.000,2350.000,2400.000,2548.000,,2475.000,2450.000,2950.000,,2700.000,2825.000,2700.000,2625.000,2725.000,2465.000,2775.000,2700.000,2498.000,2500.000,2500.000,2200.000,2400.000,2500.000,2579.000,2650.000,2700.000,2550.000,2550.000,2600.000,2500.000,2599.000,2650.000,2650.000,2800.000,2800.000,2623.000,2513.000,2600.000,2600.000,2600.000,2700.000,2600.000,2550.000,2500.000,2575.000,2600.000,2625.000,2595.000,2650.000,2875.000,2535.000,2520.000,2520.000,2478.000,2455.000,2475.000,2550.000,2800.000,2800.000,2789.000,2600.000,2612.000,2644.000,2725.000,2800.000,2750.000,2623.000,2648.000,2375.000,2500.000,2500.000,2600.000,2768.000,2700.000,2655.000,2800.000,2698.000,2600.000,2500.000,2525.000,2462.000,2623.000,2750.000,2700.000,2795.000,2850.000,2750.000,2795.000,2750.000,2775.000,2700.000,2650.000,2825.000,2550.000,2750.000,2600.000,2600.000,2600.000,2600.000,2600.000,2600.000,2500.000,2498.000,2500.000,2400.000,2450.000,2500.000,2500.000,2598.000,2600.000,2600.000,2600.000,2648.000,2900.000,2900.000,3050.000,3200.000,2975.000,3238.000,3188.000,3350.000,3500.000,3300.000,3500.000,3500.000,3400.000
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.000,1300.000,,,,,,,,1508.000,1400.000,1350.000,1400.000,1350.000,1475.000,1400.000,1495.000,1438.000,1475.000,1475.000,1425.000,1399.000,1400.000,1500.000,,1425.000,1450.000,1395.000,1425.000,1525.000,1500.000,1463.000,1600.000,2078.000,1600.000,1599.000,1650.000,2077.000,1663.000,1600.000,1625.000,1590.000,1583.000,1570.000,1525.000,1500.000,1500.000,1500.000,1525.000,1590.000,1500.000,1598.000,1590.000,1550.000,1600.000,1620.000,1620.000,1550.000,1500.000,1550.000,1600.000,1595.000,1600.000,1650.000,1650.000,1613.000,1600.000,1600.000,1600.000,1650.000,1625.000,1688.000,1600.000,1625.000,1600.000,,1625.000,1663.000,1600.000,1675.000,1649.000,1600.000,1600.000,1673.000,1613.000,1585.000,1500.000,1500.000,1575.000,1600.000,1600.000,1600.000,1624.000,1550.000,1600.000,1625.000,1600.000,1600.000,1600.000,1650.000,1725.000,1750.000,1795.000,1750.000,1800.000,1713.000,1675.000
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.000,1513.000,,,,,1450.000,1450.000,,1500.000,1500.000,1525.000,1598.000,1595.000,1598.000,1623.000,1650.000,1625.000,1650.000,1650.000,1613.000,1560.000,1525.000,1550.000,1675.000,1650.000,1623.000,1663.000,1675.000,1695.000,1693.000,1663.000,1693.000,1695.000,1695.000,1750.000,1698.000,1750.000,1625.000,1595.000,1600.000,1600.000,1695.000,1550.000,1550.000,1600.000,1650.000,1650.000,1625.000,1625.000,1600.000,1613.000,1670.000,1600.000,1595.000,1625.000,1695.000,1699.000,1695.000,1685.000,1700.000,1699.000,1600.000,1650.000,1610.000,1600.000,1600.000,1687.000,1650.000,1700.000,1700.000,1700.000,1750.000,1723.000,1720.000,1733.000,1725.000,1725.000,1738.000,1725.000,1750.000,1738.000,1725.000,1725.000,1725.000,1750.000,1725.000,1725.000,1725.000,1724.000,1713.000,1725.000,1700.000,1725.000,1725.000,1725.000,1725.000,1725.000,1725.000,1725.000,1725.000,1725.000,1725.000,1775.000,1760.000,1785.000,1785.000,1873.000,1850.000,1800.000,1825.000,1913.000,1850.000
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.000,1613.000,1650.000,1700.000,,,,,,,,1450.000,1400.000,1400.000,1400.000,1405.000,1580.000,1573.000,,,1425.000,,1825.000,1825.000,1700.000,1595.000,1438.000,1550.000,1550.000,1695.000,1475.000,1450.000,1695.000,1750.000,1800.000,1850.000,1600.000,1600.000,1599.000,1650.000,1695.000,1700.000,1700.000,1675.000,1669.000,1796.000,1800.000,1725.000,1798.000,1795.000,1800.000,1750.000,1750.000,1695.000,1695.000,1695.000,1650.000,1800.000,1750.000,1825.000,1825.000,1813.000,1735.000,1863.000,1795.000,1850.000,1838.000,1719.000,1895.000,1825.000,1744.000,1875.000,1900.000,1900.000,1900.000,1750.000,1750.000,1750.000,1750.000,1888.000,1950.000,1850.000,1765.000,1825.000,1949.000,1975.000,1925.000,1946.000,1910.000,1897.000,1895.000,1849.000,1910.000,1918.000,1900.000,1775.000,1763.000,1800.000,1995.000,1975.000,1866.000,1799.000,1650.000,1700.000,1700.000,1695.000,1700.000,1725.000,1700.000,1700.000,1750.000,1975.000,1915.000,1895.000,1950.000,1863.000,1883.000,1850.000,1900.000,1900.000,2100.000,2100.000,2150.000,2200.000,2395.000
Bronx,Bronx,borough,1350.000,1400.000,1400.000,1375.000,1400.000,1300.000,1200.000,1175.000,1250.000,1275.000,1325.000,1300.000,1450.000,1425.000,1300.000,1300.000,1250.000,1125.000,1250.000,1250.000,1200.000,1200.000,1200.000,1200.000,1200.000,1250.000,1200.000,1200.000,1200.000,1200.000,1263.000,1225.000,1150.000,1225.000,1275.000,1290.000,1250.000,1275.000,1275.000,1300.000,1300.000,1250.000,1225.000,1225.000,1225.000,1197.000,1200.000,1250.000,1225.000,1222.000,1350.000,1350.000,1400.000,1473.000,1400.000,1300.000,1300.000,1300.000,1350.000,1300.000,1350.000,1350.000,1362.000,1350.000,1349.000,1325.000,1300.000,1350.000,1350.000,1350.000,1385.000,1400.000,1450.000,1450.000,1425.000,1450.000,1450.000,1450.000,1450.000,1463.000,1495.000,1486.000,1450.000,1475.000,1475.000,1500.000,1500.000,1500.000,1550.000,1500.000,1550.000,1550.000,1560.000,1559.000,1563.000,1550.000,1550.000,1588.000,1550.000,1588.000,1590.000,1555.000,1575.000,1600.000,1625.000,1600.000,1600.000,1595.000,1600.000,1602.000,1625.000,1649.000,1650.000,1625.000,1645.000,1650.000,1699.000,1650.000,1688.000,1695.000,1699.000,1700.000,1700.000,1695.000,1695.000,1699.000,1699.000,1700.000,1700.000,1699.000,1700.000,1699.000,1675.000,1675.000,1675.000,1713.000,1799.000,1750.000,1749.000,1725.000,1700.000,1699.000,1750.000,1750.000,1738.000,1750.000,1799.000,1848.000,1850.000,1827.000,1875.000,1900.000,1895.000,1850.000
